CD_PRODCOM_2016|TX_PRODCOM_FR|TX_PRODCOM_NL|CD_UNIT|CD_TYPE
10.31.11.10|Pommes de terre, non cuites ou cuites à l’eau ou à la vapeur, congelées ou surgelées|Aardappelen, ook indien gestoomd of in water gekookt, bevroren|kg|-
10.31.11.30|Pommes de terre préparées ou conservées autrement qu’au vinaigre ou à l’acide acétique, congelées ou surgelées, y compris les pommes de terre entièrement ou partiellement frites et ensuite congelées ou surgelées|Aardappelen, bereid of verduurzaamd, bevroren (incl. aardappelen, voorgebakken of gebakken in olie en vervolgens bevroren) (excl. bereid of verduurzaamd in azijn of azijnzuur)|kg|-
10.31.12.00|Pommes de terre, déshydratées, coupées ou non, mais sans autre préparation|Gedroogde aardappelen, ook indien in stukken of in schijven gesneden, doch niet op andere wijze bereid|kg|-
10.31.13.00|Pommes de terre déshydratées sous forme de farine, de poudre, de flocons, de granulés ou de pellets|Meel, gries, poeder, vlokken, korrels en pellets, van gedroogde aardappelen|kg|-
10.31.14.30|Pommes de terre préparées ou conservées, sous forme de farine, semoule ou flocons (à l’exclusion des chips et des produits congelés ou surgelés, ou préparés ou conservés au vinaigre ou à l’acide acétique)|Aardappelen in de vorm van meel, gries, griesmeel of vlokken (excl. bevroren, in schijfjes (chips), bereid of verduurzaamd in azijn of azijnzuur)|kg|-
10.31.14.60|Autres préparations ou conserves de pommes de terre, y compris les chips (à l’exclusion des produits congelés ou surgelés, séchés, préparés ou conservés au vinaigre ou à l’acide acétique, ou sous forme de farines, semoules ou flocons)|Aardappelen, bereid of verduurzaamd (incl. in schijfjes (chips)) (excl. bevroren, gedroogd, bereid of verduurzaamd in azijn of azijnzuur, en in de vorm van meel, gries, griesmeel of vlokken)|kg|-
10.32.11.00|Jus de tomate|Tomatensap|l|-
10.32.12.10|Jus d’orange, non concentré, congelé|Bevroren sinaasappelsap, niet geconcentreerd|kg|-
10.32.12.20|Jus d’orange, non concentré, non congelé|Sinaasappelsap, niet geconcentreerd (excl. bevroren)|l|-
10.32.12.30|Jus d’orange n.c.a.|Sinaasappelsap n.e.g.|l|-
10.32.13.00|Jus de pamplemousse|Sap van pompelmoezen, van grapefruits of van pomelo's|l|-
10.32.14.00|Jus d’ananas|Ananassap|l|-
10.32.15.00|Jus de raisin, y compris le moût|Druivensap (incl. druivenmost)|l|-
10.32.16.00|Jus de pomme|Appelsap|l|-
10.32.17.00|Mélanges de jus de fruits et légumes|Mengsels van vruchten- en groentesappen|l|-
10.32.19.10|Jus de tout autre agrume (à l’exclusion des oranges et pamplemousses), non concentré|Sap van andere citrusvruchten (excl. sinaasappelen pompelmoezen, grapefruits en pomelo's), niet onderling vermengd en niet geconcentreerd|l|-
10.32.19.20|Jus de tout autre fruit ou légume (à l’exclusion des oranges, pamplemousses, ananas, tomates, raisin et pommes), non concentré, non fermenté, sans addition d’alcool|Sap van vruchten of groenten (excl. sinaasappelen, pompelmoezen, grapefruits, pomelo's, ananassen, tomaten, druiven of appelen), niet onderling vermengd, ongegist en zonder toegevoegde alcohol|l|-
10.32.19.30|Autres jus de fruits ou légumes n.c.a.|Andere vruchten- en groentesappen n.e.g.|l|-
10.39.11.00|Légumes et mélanges de légumes congelés ou surgelés, non cuits ou cuits à l’eau ou à la vapeur (à l’exclusion des pommes de terre)|Groenten en mengsels van groenten, ook indien gestoomd of in water gekookt, bevroren (excl. aardappelen)|kg|-
10.39.12.00|Légumes conservés provisoirement au moyen de gaz sulfureux ou dans de l’eau salée, soufrée ou additionnée d’autres substances servant à assurer provisoirement leur conservation, mais impropres à l’alimentation en l’état|Groenten, voorlopig verduurzaamd door middel van zwaveldioxide of in water waaraan, voor het voorlopig verduurzamen, zout, zwavel of andere stoffen zijn toegevoegd, doch als zodanig niet geschikt voor dadelijke consumptie|kg|-
10.39.13.30|Oignons, séchés, même coupés en morceaux ou en tranches ou bien broyés ou pulvérisés, mais non autrement préparés|Gedroogde uien, ook indien in stukken of in schijven gesneden, dan wel fijngemaakt of in poedervorm, doch niet op andere wijze bereid|kg|-
10.39.13.50|Champignons et truffes, séchés, même coupés en morceaux ou en tranches ou bien broyés ou pulvérisés, mais non autrement préparés|Gedroogde paddenstoelen en truffels, ook indien in stukken of in schijven gesneden, dan wel fijngemaakt of in poedervorm, doch niet op andere wijze bereid|kg|-
10.39.13.90|Légumes (à l’exclusion des pommes de terre, des oignons, des champignons et des truffes) et mélanges de légumes, séchés, même coupés en morceaux ou en tranches ou bien broyés ou pulvérisés, mais non autrement préparés|Gedroogde groenten (excl. aardappelen, uien, paddenstoelen en truffels) en mengsels van groenten, ook indien in stukken of in schijven gesneden, dan wel fijngemaakt of in poedervorm, doch niet op andere wijze bereid|kg|-
10.39.15.00|Haricots, conservés autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés)|Bonen, op andere wijze verduurzaamd dan in azijn of azijnzuur (excl. bereide groenteschotels)|kg|-
10.39.16.00|Pois, conservés autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés)|Erwten, op andere wijze verduurzaamd dan in azijn of azijnzuur (excl. bereide groenteschotels)|kg|-
10.39.17.10|Tomates, entières ou en morceaux, conservées autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés)|Tomaten, op andere wijze verduurzaamd dan in azijn of azijnzuur, geheel of in stukken (excl. bereide groenteschotels)|kg|-
10.39.17.21|Coulis et purées de tomates|Tomatenpuree en tomatenpasta, niet geconcentreerd|kg|-
10.39.17.25|Concentré de tomates|Tomatenpuree en tomatenpasta, geconcentreerd|kg|-
10.39.17.30|Champignons et truffes, préparés ou conservés autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés et des champignons et truffes séchés ou congelés)|Paddenstoelen en truffels, bereid of verduurzaamd (excl. bereide groenteschotels, en paddenstoelen en truffels, gedroogd, bevroren of verduurzaamd in azijn of azijnzuur)|kg|-
10.39.17.40|Autres légumes et mélanges de légumes, non congelés, conservés autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés et des autres légumes et mélanges de légumes non cuits ou cuits à l’eau ou à la vapeur)|Groenten en mengsels van groenten, bevroren (excl. bereide groenteschotels; bevroren groenten en mengsels van groenten, ongekookt, gestoomd, in water gekookt of verduurzaamd in azijn of azijnzuur)|kg|-
10.39.17.50|Choucroute, non congelée, conservée autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés et de la choucroute séchée)|Zuurkool, verduurzaamd (excl. bereide groenteschotels; zuurkool, gedroogd, bevroren of verduurzaamd in azijn of azijnzuur)|kg|-
10.39.17.60|Asperges, non congelées, conservées autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés et des asperges séchées)|Asperges, verduurzaamd (excl. bereide groenteschotels; asperges, gedroogd, bevroren of verduurzaamd in azijn of azijnzuur)|kg|-
10.39.17.70|Olives, non congelées, conservées autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés et des olives séchées)|Olijven, bereid of verduurzaamd (excl. bereide groenteschotels; olijven, gedroogd, bevroren of verduurzaamd in azijn of azijnzuur)|kg|-
10.39.17.80|Maïs doux, non congelé, conservé autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des plats préparés et du maïs doux séché)|Suikermais, bereid of verduurzaamd (excl. bereide groenteschotels; suikermais, gedroogd, bevroren of verduurzaamd in azijn of azijnzuur)|kg|-
10.39.17.90|Autres légumes et mélanges de légumes, non congelés (à l’exclusion des plats préparés)|Groenten en mengsels van groenten n.e.g. (excl. bereide groenteschotels; bevroren groenten en mengsels van groenten)|kg|-
10.39.18.00|Légumes (à l’exclusion des pommes de terre), fruits, fruits à coque et parties comestibles de plantes, préparés ou conservés au vinaigre ou à l’acide acétique|Groenten (excl. aardappelen), vruchten en andere eetbare plantendelen, bereid of verduurzaamd in azijn of azijnzuur|kg|-
10.39.21.00|Fruits et fruits à coque, congelés, non cuits ou cuits à l’eau ou à la vapeur|Vruchten, ook indien gestoomd of in water gekookt, bevroren|kg|-
10.39.22.30|Confitures, marmelades, gelées, purées et pâtes d’agrumes, obtenues par cuisson (à l’exclusion des préparations homogénéisées)|Jam, vruchtengelei, marmelade, vruchtenmoes en vruchtenpasta, door koken of stoven verkregen, van citrusvruchten (excl. gehomogeniseerde bereidingen)|kg|-
10.39.22.90|Confitures, marmelades, gelées, purées et pâtes de fruits à coque et de fruits autres qu’agrumes, obtenues par cuisson (à l’exclusion des préparations homogénéisées)|Jam, vruchtengelei, marmelade, vruchtenmoes en vruchtenpasta, door koken of stoven verkregen (excl. die van citrusvruchten, en excl. gehomogeniseerde bereidingen)|kg|-
10.39.23.30|Arachides, préparées ou conservées autrement qu’au vinaigre ou à l’acide acétique, et beurre d’arachide (à l’exclusion des arachides congelées, sous forme de purée ou de pâte)|Bereide of verduurzaamde grondnoten (incl. pindakaas) (excl. verduurzaamd in azijn of azijnzuur, en bevroren, en excl. moes en pasta)|kg|-
10.39.23.90|Autres fruits à coque et autres graines, y compris les mélanges, préparés ou conservés autrement qu’au vinaigre ou à l’acide acétique (à l’exclusion des fruits et graines congelés, sous forme de purée ou de pâte, ou confits au sucre)|Bereide of verduurzaamde noten (excl. grondnoten) en andere zaden, ook indien onderling vermengd (excl. verduurzaamd in azijn of azijnzuur, gekonfijt met suiker of bevroren, en excl. moes en pasta)|kg|-
10.39.24.10|Écorces d’agrumes ou de melons, fraîches, congelées, séchées ou conservées dans de l’eau salée, soufrée ou additionnée d’autres substances|Schillen van citrusvruchten en van meloenen, vers, bevroren, gedroogd, dan wel in water waaraan, voor het voorlopig verduurzamen, zout, zwavel of andere stoffen zijn toegevoegd|kg|-
10.39.24.30|Autres fruits et fruits à coque, provisoirement conservés au moyen de gaz sulfureux ou dans de l’eau salée, soufrée ou additionnée d’autres substances, impropres à l’alimentation immédiate|Andere vruchten, voorlopig verduurzaamd door middel van zwaveldioxide of in water waaraan, voor het voorlopig verduurzamen, zout, zwavel of andere stoffen zijn toegevoegd, doch als zodanig niet geschikt voor dadelijke consumptie|kg|-
10.39.25.00|Arachides et noix, décortiquées|Grondnoten en noten, gedopt|kg|-
10.39.29.10|Raisins, séchés|Rozijnen en krenten|kg|-
10.39.29.20|Autres fruits, séchés (à l’exclusion des dattes, ananas, avocats, goyaves, mangues, mangoustans, agrumes et raisins); mélanges de fruits à coque et séchés|Gedroogde vruchten (excl. dadels, ananassen, advocaten (avocado's), guaves, manga's, manggistans, citrusvruchten en druiven); mengsels van gedroogde noten en gedroogde vruchten|kg|-
10.39.29.50|Autres fruits, préparés ou conservés (à l’exclusion du Müsli)|Vruchten, bereid of verduurzaamd, n.e.g. (excl. muesli)|kg|-
10.39.30.00|Déchets et sous-produits végétaux pour l’alimentation des animaux n.c.a.|Plantaardige bijproducten en plantaardig afval, van de soort gebruikt voor het voederen van dieren|kg|-
10.39.91.00|Cuisson et autres façons de préparations à base de fruits et légumes|Koken en andere bereidingen (concentreren enz.) voor het conserveren van groenten en fruit|-|I
10.41.11.00|Stéarine solaire, huile de saindoux, oléostéarine, oléomargarine et huile de suif, non émulsionnées, ni mélangées ou autrement préparées|Varkensstearine, spekolie, oleostearine, oleomargarine en talkolie (excl. geëmulgeerd, vermengd of op andere wijze bereid)|kg|-
10.41.12.00|Graisses et huiles de poissons et de mammifères marins et leurs fractions (non chimiquement modifiées)|Vetten en oliën, van vis of van zeezoogdieren, alsmede fracties daarvan (excl. chemisch gewijzigd)|kg|-
10.41.19.00|Autres graisses et huiles animales et leurs fractions, même raffinées (non chimiquement modifiées)|Andere dierlijke vetten en oliën, alsmede fracties daarvan, ook indien geraffineerd (excl.chemisch gewijzigd)|kg|-
10.41.21.10|Huile d’arachide brute et ses fractions (non chimiquement modifiées)|Ruwe grondnotenolie, alsmede fracties daarvan (excl. chemisch gewijzigd)|kg|-
10.41.22.10|Huile d’olive vierge et ses fractions (non chimiquement modifiées)|Olijfolie, alsmede fracties daarvan (excl. chemisch gewijzigd)|kg|-
10.41.22.20|Huiles brutes et leurs fractions obtenues exclusivement à partir d’olives, y compris les mélanges de ces huiles avec des huiles d’olive vierges raffinées (à l’exclusion de l’huile d’olive vierge et des huiles chimiquement modifiées)|Olie en fracties daarvan, uitsluitend verkregen uit olijven, ruw (incl. mengsels daarvan met olijfolie verkregen bij de eerste persing, geraffineerd) (excl. olijfolie verkregen bij de eerste persing en chemisch gewijzigde olie)|kg|-
10.41.23.00|Huiles de tournesol et de carthame brutes et leurs fractions (non chimiquement modifiées)|Ruwe zonnebloemzaad- en saffloerolie, alsmede fracties daarvan (excl. chemisch gewijzigd)|kg|-
10.41.24.10|Huiles de navette, de colza et de moutarde brutes et leurs fractions (non chimiquement modifiées)|Ruwe koolzaad-, raapzaad- en mosterdzaadolie, alsmede fracties daarvan (excl. chemisch gewijzigd)|kg|-
10.41.25.10|Huile de palme brute et ses fractions (non chimiquement modifiées)|Ruwe palmolie en fracties daarvan (excl. chemisch gewijzigd)|kg|-
10.41.29.10|Autres huiles végétales brutes (non chimiquement modifiées)|Andere plantaardige oliën, ruw (excl. chemisch gewijzigd)|kg|-
